Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Martinez,martinez.txt,10028,10360,10082,,,,,,,
Milano,milano.txt,10028,10104,10144,,,,,,,
Monkey Gland,monkey_gland.txt,10028,10150,10044,10185,,,,,,
Moonshot,moonshot.txt,10028,10137,10175,,,,,,,
Naked Martini,naked_martini.txt,10028,10255,,,,,,,,
Negroni Cocktail,negroni_cocktail.txt,10028,10045,10360,10117,,,,,,
Orange Blossom,orange_blossom.txt,10028,10150,10092,10165,10256,,,,,
Orchid,orchid.txt,10248,10221,10028,10032,10113,10108,10144,,,
Oriental,oriental.txt,10028,10095,10079,10248,,,,,,
Pall Mall,pall_mall.txt,10028,10358,10360,10064,10011,,,,,
Parisian Cocktail,parisian_cocktail.txt,10028,10061,10358,,,,,,,
Passion Cocktail,passion_cocktail.txt,10095,10028,10248,,,,,,,
Perfect Martini,perfect_martini.txt,10028,10358,10360,10256,,,,,,
Picasso Martini,picasso_martini.txt,10028,10358,,,,,,,,
Pink Gin ,pink_gin.txt,10011,10028,10248,,,,,,,
Pink Martini,pink_martini.txt,10028,10158,10150,10256,,,,,,
Pink Pamplemousse,pink_pamplemousse.txt,10028,10090,10143,10248,,,,,,
Ramos Gin Fizz,ramos_gin_fizz.txt,10028,10144,10145,10165,10231,10134,10225,10117,10248,
Rocco,rocco.txt,10028,10045,10090,10150,10139,,,,,
Rondezvous,rondezvous.txt,10028,10016,10045,10248,,,,,,
Rose Martini,rose_martini.txt,10028,10092,10172,10270,,,,,,
Seville,seville.txt,10028,10368,10150,10144,10221,,,,,
Silver Bullet,silver_bullet.txt,10028,10106,10144,10248,,,,,,
Singapore Sling,singapore_sling.txt,10028,10023,10044,10092,10150,10145,10117,10259,10256,10251
Smoky Martini,smoky_martini.txt,10028,10348,10358,10248,,,,,,
Tasmanian Twister Cocktail,tasmanian_twister_cocktail.txt,10028,10045,10360,10143,10256,,,,,
